count,hate_speech,offensive_language,neither,class,tweet
3,0,3,0,1,Critics fail to see the transformation happening. History will judge who stood with progress. #India
3,0,3,0,1,Critics fail to see the transformation happening. History will judge who stood with progress. 🇮🇳
3,0,0,3,2,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development 🇮🇳
3,0,0,3,2,RT MENTIONHERE: Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService
3,0,3,0,1,Corrupt politicians trying to mislead the public. Their days are numbered. (1/2)
3,0,0,3,2,International delegation visit concluded successfully.
3,0,0,3,2,BREAKING: Education and healthcare remain our top priorities. Every citizen deserves the best. #Development
3,0,3,0,1,RT MENTIONHERE: Corrupt politicians trying to mislead the public. Their days are numbered.
3,0,0,3,2,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development
3,0,0,3,2,BREAKING: Working together for sustainable development and environmental protection. #GreenFuture
3,0,0,3,2,📢 Our farmers are the backbone of the nation. New policies to support agricultural growth.
3,0,3,0,1,BREAKING: Corrupt politicians trying to mislead the public. Their days are numbered.
3,0,0,3,2,Parliament session begins tomorrow. Important bills to be discussed. - via official handle
3,0,0,3,2,RT MENTIONHERE: Attended the G20 summit today. Discussed global economic cooperation.
3,3,0,0,0,OPPOSITION PARTIES SPREADING MISINFORMATION AGAIN. FACTS SPEAK LOUDER THAN PROPAGANDA.
3,0,0,3,2,Youth empowerment is key to national progress. Launching new skill development programs. MENTIONHERE
3,3,0,0,0,"THOSE WHO QUESTION OUR POLICIES HAVE NEVER SERVED THE PEOPLE. ACTIONS MATTER, NOT WORDS."
3,0,3,0,1,RT MENTIONHERE: Opposition parties spreading misinformation again. Facts speak louder than propaganda.
3,0,0,3,2,RT MENTIONHERE: Youth empowerment is key to national progress. Launching new skill development programs.
3,0,0,3,2,Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService
3,0,0,3,2,Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation MENTIONHERE
3,0,0,3,2,Working together for sustainable development and environmental protection. #GreenFuture 🇮🇳
3,3,0,0,0,BREAKING: Corrupt politicians trying to mislead the public. Their days are numbered.
3,3,0,0,0,📢 Opposition parties spreading misinformation again. Facts speak louder than propaganda.
3,0,0,3,2,CONGRATULATIONS TO OUR ATHLETES FOR MAKING THE NATION PROUD! YOUR DEDICATION INSPIRES MILLIONS.
3,0,3,0,1,Corrupt politicians trying to mislead the public. Their days are numbered. MENTIONHERE
3,0,0,3,2,International delegation visit concluded successfully.
3,0,3,0,1,Opposition parties spreading misinformation again. Facts speak louder than propaganda. - via official handle
3,0,0,3,2,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. (1/2)
3,0,0,3,2,BREAKING: Unity in diversity is our strength. Celebrating our rich cultural heritage. #India
3,0,0,3,2,Attended the G20 summit today. Discussed global economic cooperation. MENTIONHERE
3,0,3,0,1,Anti-national elements trying to destabilize our growth. We stand united against them. #India
3,3,0,0,0,Corrupt politicians trying to mislead the public. Their days are numbered. 🇮🇳
3,3,0,0,0,CORRUPT POLITICIANS TRYING TO MISLEAD THE PUBLIC. THEIR DAYS ARE NUMBERED.
3,0,3,0,1,"Those who question our policies have never served the people. Actions matter, not words. #India"
